,Top_10_Song,Performer_Count,Song_Name_Count,Debut_Position,Song_Name_Count,Performer_Count,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Debut_Season,Debut_Month,Debut_Decade,Key,Mode,Time_Signature
95,0,18,1,57,1,18,0.637,0.852,-10.752,0.869,0.000836,0.351,0.789,157.291,2.81,Summer,August,50's,C,Major,4/4
96,0,4,1,65,1,4,0.486,0.15,-15.761,0.846,0.000425,0.165,0.561,94.991,2.68955,Summer,August,50's,C,Major,4/4
97,0,6,2,72,2,6,0.326,0.495,-10.839,0.891,0.0,0.241,0.723,109.915,2.9829833333333333,Summer,August,50's,Bb,Major,4/4
98,0,6,2,74,2,6,0.473,0.305,-15.998,0.873,0.0,0.364,0.493,98.374,2.91955,Summer,August,50's,D#,Minor,3/4
99,0,1,1,78,1,1,0.639,0.847,-12.559,0.885,0.947,0.939,0.907,130.273,2.368,Summer,August,50's,E,Major,4/4
100,1,1,1,82,1,1,0.459,0.772,-10.642,0.736,0.131,0.277,0.573,93.24,3.60445,Summer,August,50's,G,Major,4/4
101,0,1,2,94,2,1,0.508,0.173,-10.289,0.974,0.0,0.0987,0.435,66.471,2.44555,Summer,August,50's,B,Major,4/4
102,0,8,2,95,2,8,0.29,0.169,-16.456,0.838,0.00931,0.108,0.175,58.727,2.5873333333333335,Summer,August,50's,D,Major,4/4
103,0,1,1,100,1,1,0.494,0.479,-8.258,0.583,0.000139,0.28,0.535,97.826,2.8512833333333334,Summer,August,50's,B,Minor,4/4
104,0,1,1,93,1,1,0.494,0.464,-7.586,0.55,0.0,0.503,0.662,119.208,2.7266666666666666,Summer,August,50's,Bb,Major,3/4
105,0,1,1,94,1,1,0.672,0.511,-10.022,0.77,0.0,0.265,0.968,94.88,1.77445,Summer,August,50's,G#,Major,4/4
106,0,2,1,98,1,2,0.428,0.706,-5.99,0.34,0.000174,0.0761,0.791,184.602,2.5711166666666667,Summer,August,50's,F,Major,4/4
107,0,4,1,72,1,4,0.51,0.366,-15.604,0.755,0.000355,0.196,0.87,115.485,2.2626666666666666,Fall,September,50's,C,Major,4/4
108,0,20,1,88,1,20,0.56,0.565,-6.193,0.585,0.0,0.0808,0.676,92.173,1.9606666666666666,Fall,September,50's,C#,Major,4/4
109,0,6,1,92,1,6,0.507,0.358,-12.085,0.788,2.5e-05,0.0673,0.814,116.489,2.7902666666666667,Fall,September,50's,D#,Major,4/4
110,0,2,1,93,1,2,0.337,0.245,-14.232,0.834,0.0,0.0902,0.271,78.18,2.89,Fall,September,50's,C,Major,4/4
111,0,1,1,95,1,1,0.661,0.632,-8.889,0.688,0.0,0.263,0.953,129.407,2.517333333333333,Fall,September,50's,C,Major,4/4
112,0,1,1,59,1,1,0.405,0.059,-17.288,0.764,0.0,0.107,0.211,89.204,4.101783333333334,Fall,September,50's,D#,Major,3/4
113,0,3,1,61,1,3,0.339,0.427,-8.569,0.767,1.19e-05,0.179,0.385,94.546,2.5646666666666667,Fall,September,50's,F#,Major,4/4
114,0,4,2,72,2,4,0.73,0.473,-5.599,0.708,0.0,0.145,0.824,110.381,2.1553166666666668,Fall,September,50's,F#,Major,4/4
115,0,2,1,76,1,2,0.521,0.705,-6.236,0.601,0.0645,0.354,0.96,123.884,2.0986666666666665,Fall,September,50's,G,Major,4/4
116,1,6,2,87,2,6,0.454,0.264,-11.891,0.62,3.07e-05,0.176,0.315,89.669,2.3466666666666667,Fall,September,50's,C,Major,3/4
117,0,16,6,98,6,16,0.567,0.212,-12.459,0.873,0.0,0.112,0.596,77.444,2.71555,Fall,September,50's,F,Minor,4/4
118,0,3,1,60,1,3,0.457,0.331,-12.372,0.722,0.0,0.274,0.536,108.616,3.0002166666666668,Fall,September,50's,Bb,Major,4/4
119,0,4,1,74,1,4,0.653,0.747,-6.932,0.531,0.0,0.101,0.887,95.995,1.8048833333333334,Fall,September,50's,C,Major,4/4
120,0,1,1,76,1,1,0.305,0.846,-5.796,0.668,0.0,0.2,0.887,194.915,2.4993333333333334,Fall,September,50's,C,Major,4/4
121,0,4,2,77,2,4,0.616,0.724,-8.101,0.788,3.16e-06,0.128,0.809,81.402,2.07645,Fall,September,50's,A,Major,3/4
122,0,1,1,85,1,1,0.377,0.76,-6.585,0.634,0.0,0.0848,0.931,166.866,2.32355,Fall,September,50's,A,Major,4/4
123,1,1,1,88,1,1,0.288,0.33,-10.211,0.892,2.61e-06,0.123,0.39,174.252,2.43445,Fall,September,50's,D,Major,3/4
124,0,35,2,96,2,35,0.503,0.388,-7.585,0.773,0.0,0.0666,0.546,104.247,2.4631166666666666,Fall,September,50's,F,Major,3/4
125,0,9,1,98,1,9,0.455,0.286,-7.143,0.723,1.72e-05,0.158,0.31,90.008,2.4097833333333334,Fall,September,50's,D,Major,4/4
126,0,11,1,66,1,11,0.601,0.699,-10.648,0.701,7.15e-05,0.153,0.861,171.709,2.37,Fall,September,50's,E,Major,4/4
127,0,27,8,74,8,27,0.185,0.445,-11.728,0.764,0.0,0.102,0.356,83.154,2.78355,Fall,September,50's,F,Major,4/4
128,0,11,1,79,1,11,0.627,0.499,-8.414,0.544,0.0,0.411,0.931,111.869,2.66955,Fall,September,50's,G,Major,4/4
129,1,16,1,83,1,16,0.648,0.144,-13.842,0.827,6.8e-06,0.109,0.497,125.974,3.0662166666666666,Fall,September,50's,E,Major,4/4
130,0,19,2,89,2,19,0.372,0.258,-12.183,0.933,0.000243,0.138,0.281,143.285,2.05845,Fall,September,50's,A,Major,3/4
131,0,1,2,92,2,1,0.82,0.656,-9.867,0.683,0.849,0.172,0.962,130.475,2.542883333333333,Fall,September,50's,G,Minor,4/4
132,0,1,1,96,1,1,0.411,0.511,-10.578,0.75,0.00026,0.344,0.887,138.954,2.3026333333333335,Fall,September,50's,D#,Major,4/4
133,0,1,2,73,2,1,0.651,0.53,-10.461,0.778,0.0,0.677,0.849,81.255,2.2561166666666668,Fall,October,50's,D,Major,4/4
